tier,field,subfield,subject,question,category,answer,source,question_no,
,beginner,Cultural Studies,Topics,Globalization,What are the primary benefits and drawbacks of glo...,Cultural Studies > Topics,Globalization is a complex phenomenon with far-rea...,Cultural Studies Industry Trends Report (2018),1
,intermediate,Religious Studies,World Religions,Judaism,How do the concepts of tzelem Elohim and b'tzelem ...,Religious Studies > World Religions,"The concepts of ""tzelem Elohim"" and ""b'tzelem Eloh""...",Journal of Religious Studies Studies (2024),2
,advanced,Philosophy,Branches,Metaphysics,What is the relationship between the concept of su...,Philosophy > Branches,"In the metaphysics of Baruch Spinoza, the concepts...",Philosophy Industry Trends Report (2021),3
,advanced,Political Science,Branches,Political Psychology,What is the relationship between political ideolog...,Political Science > Branches,Political ideology and cognitive biases play signi...,Political Science Insights Webinar Series (2019),4
,beginner,Philosophy,Philosophers,Sartre,What is the relationship between human freedom and...,Philosophy > Philosophers,"In Jean-Paul Sartre's philosophy, human freedom an...",Philosophy Industry Trends Report (2024),5
,beginner,Computer Science,Algorithms,Randomized Algorithms,Consider a simple randomized algorithm that choose...,Computer Science > Algorithms,The problem you're describing is an example of a r...,Journal of Computer Science Studies (2019),6
,beginner,Computer Science,DevOps,Microservices,What is the main advantage of using Service Discov...,Computer Science > DevOps,"Sure, I'd be happy to help!\n\nService Discovery i...","'Computer Science Handbook: DevOps' (MIT Press, 20...",7
,intermediate,Economics,Development Economics,Microfinance,What are the key trade-offs in designing a microfi...,Economics > Development Economics,Designing a microfinance program aimed at reducing...,Journal of Economics Studies (2023),8
,beginner,Art Criticism,Art Movements,Pop Art,What is the primary concern or critique that Pop A...,Art Criticism > Art Movements,"Pop Art, an art movement that emerged in the mid-2...",Journal of Art Criticism Studies (2015),9
,intermediate,Environmental Science,Fields,Environmental Economics,"What are the implications of the ""tragedy of the c""...",Environmental Science > Fields,The tragedy of the commons refers to a situation w...,'Environmental Science Handbook: Fields' (McGraw-H...,10
,intermediate,Mathematics,Branches,Combinatorics,Let X be a set of n distinct elements and let A an...,Mathematics > Branches,To prove that the number of functions from set A t...,"Interview with Mathematics expert, 2022",11
,intermediate,Philosophy,Philosophers,Nietzsche,How do you reconcile the idea of the Eternal Recur...,Philosophy > Philosophers,The concept of the Eternal Recurrence and the Will...,Philosophy Research Symposium Proceedings (2016),12
,beginner,Sociology,Theories,Symbolic Interactionism,How do the assumptions of Symbolic Interactionism ...,Sociology > Theories,Symbolic Interactionism is a sociological perspect...,Sociology Industry Trends Report (2017),13
,beginner,Computer Science,Web Development,HTML/CSS,What is the primary difference between the `displa...,Computer Science > Web Development,The `display` property in CSS is used to determine...,Computer Science Industry Trends Report (2015),14
,advanced,Cultural Studies,Topics,Urban Studies,"What is the relationship between the concept of ""p""...",Cultural Studies > Topics,"The concept of ""place"" and the notion of ""communit""...",Cultural Studies Research Symposium Proceedings (2...,15
,beginner,Art Criticism,Art Movements,Realism,What is the primary assumption underlying Realist ...,Art Criticism > Art Movements,The primary assumption underlying Realist art is t...,Art Criticism Industry Trends Report (2022),16
,beginner,Literature,Genres,Prose,What is the primary distinction between a horror s...,Literature > Genres,The primary distinction between a horror story and...,Journal of Literature Studies (2018),17
,beginner,Philosophy,Philosophical Movements,Utilitarianism,What is the relationship between the principle of ...,Philosophy > Philosophical Movements,"Jeremy Bentham, an English philosopher and the fou...",Tech Insights Blog: Philosophical Movements Deep D...,18
